zip,year,month,count
11374,2011,8,1
10468,2007,6,8
10065,2006,5,1
11432,2011,1,1
10009,2007,3,3
11224,2006,3,1
11216,2014,12,3
10032,2010,5,6
10461,2008,3,2
10026,2006,5,1
11372,2006,4,3
11103,2011,9,1
10456,2008,3,5
10474,2013,7,2
11435,2010,12,4
11232,2007,5,1
11234,2008,4,1
10023,2008,12,1
11230,2007,7,1
11368,2006,9,2
10462,2012,11,3
11216,2009,2,3
10474,2008,1,4
10301,2007,10,1
11204,2006,10,1
11432,2013,10,1
11218,2011,12,2
11413,2010,6,3
11226,2009,11,6
11226,2008,7,7
11365,2014,6,1
10474,2014,3,1
11203,2012,12,6
10035,2008,5,1
10305,2007,8,1
11412,2014,2,1
10303,2014,4,1
10458,2006,10,9
10456,2014,1,6
11226,2013,1,8
11218,2004,12,1
10033,2014,12,2
11201,2010,11,2
11226,2011,10,10
11379,2014,7,1
10033,2009,2,1
10002,2006,5,3
11201,2011,4,2
11412,2009,12,1
10304,2009,6,1
10040,2012,8,2
11221,2013,7,4
11428,2013,8,1
10475,2012,8,1
11225,2009,10,5
10465,2010,10,1
11213,2010,7,7
11434,2013,1,4
10469,2013,6,3
10463,2007,9,3
11238,2008,8,2
11434,2008,7,4
10463,2013,12,4
11221,2008,1,3
11373,2014,6,1
10028,2009,11,1
10016,2012,11,2
11237,2006,2,2
11358,2010,12,1
11434,2011,10,3
10466,2007,8,2
10024,2012,5,3
11418,2008,6,2
11105,2011,9,1
10025,2008,11,3
10302,2006,7,1
10452,2014,1,7
10472,2008,6,5
11357,2011,1,1
11229,2007,4,2
10027,2006,9,3
11357,2013,10,1
11367,2015,1,1
11235,2011,7,2
11362,2006,10,1
11103,2007,6,1
11238,2013,2,4
10453,2010,9,7
11214,2013,3,4
11420,2012,7,1
10013,2012,7,1
11237,2009,8,1
11361,2009,12,1
11435,2012,10,1
10468,2011,9,7
10473,2009,3,2
11209,2011,3,1
11368,2010,2,3
10026,2013,6,2
10025,2005,9,1
10003,2007,6,1
10010,2008,6,1
11205,2006,7,1
10303,2012,2,1
11207,2014,9,3
10065,2013,6,1
11412,2012,4,2
11377,2011,6,1
11411,2011,2,4
11233,2013,11,2
11203,2009,4,2
11433,2008,3,1
10455,2014,1,3
11104,2009,3,1
11208,2013,3,2
11417,2011,12,1
11205,2009,1,2
11206,2013,4,1
10467,2012,3,9
10006,2008,5,1
10305,2008,1,1
11436,2014,10,2
11693,2014,6,1
11207,2009,1,6
10037,2010,5,1
10031,2014,5,5
11435,2009,7,1
11375,2012,12,2
10024,2007,9,1
10455,2009,9,2
11356,2006,12,1
10030,2012,9,2
11207,2006,7,7
11211,2014,6,1
11231,2014,10,1
10027,2014,7,1
10002,2008,4,1
10032,2013,10,7
11233,2015,2,5
11360,2007,7,1
11238,2007,1,4
10452,2009,9,4
11414,2013,7,1
11385,2010,9,3
11221,2007,8,5
11416,2014,7,1
10466,2013,7,4
11420,2009,10,2
11419,2009,6,1
10466,2008,1,6
10459,2012,4,2
10035,2006,4,1
10032,2011,1,4
11432,2010,5,1
10460,2007,3,1
10458,2010,6,8
11226,2005,3,1
11372,2009,6,1
11238,2010,3,1
10031,2011,8,5
11232,2011,3,1
11692,2014,5,2
11691,2009,11,1
11225,2012,7,3
10459,2009,12,2
10025,2010,12,1
11212,2010,7,2
11214,2010,2,1
10459,2014,2,2
10460,2010,1,7
11369,2006,4,3
11216,2015,1,2
10039,2010,5,1
11206,2009,5,4
11434,2007,2,1
10467,2007,6,3
11421,2010,10,2
11378,2010,2,1
10460,2012,6,6
11224,2013,9,1
10009,2006,12,2
11004,2012,11,1
10314,2006,1,1
10310,2012,6,2
10456,2009,9,8
11422,2009,6,2
11356,2014,8,1
11208,2010,2,2
10462,2008,10,4
11226,2007,2,6
10457,2010,5,4
11216,2007,11,8
10458,2012,1,9
10461,2009,9,1
11368,2013,3,2
10463,2012,5,1
10453,2005,12,2
10462,2011,7,5
10460,2007,12,7
10460,2013,9,2
11220,2014,9,2
10029,2009,1,3
11224,2012,6,1
10463,2010,2,3
10310,2013,9,1
11374,2012,7,1
10034,2007,10,2
10470,2013,6,1
10457,2012,2,2
10031,2011,11,9
10005,2012,8,1
11219,2009,9,1
