10001,49
10002,120
10003,109
10005,2
10006,1
10007,7
10009,130
10010,35
10011,95
10012,73
10013,52
10014,66
10016,92
10017,23
10018,20
10019,85
10021,54
10022,39
10023,66
10024,112
10025,227
10026,225
10027,364
10028,67
10029,245
10030,270
10031,587
10032,506
10033,309
10034,232
10035,226
10036,72
10037,112
10038,15
10039,156
10040,283
10044,15
10065,48
10069,1
10075,34
10128,90
10280,3
10301,105
10302,40
10303,49
10304,71
10305,24
10306,20
10307,1
10308,2
10309,6
10310,40
10312,6
10314,23
10451,318
10452,786
10453,897
10454,180
10455,225
10456,817
10457,783
10458,802
10459,360
10460,498
10461,135
10462,287
10463,248
10464,3
10465,41
10466,406
10467,819
10468,691
10469,288
10470,97
10471,29
10472,453
10473,137
10474,128
10475,49
11001,3
11004,1
11101,53
11102,68
11103,74
11104,62
11105,49
11106,66
11201,52
11203,365
11204,57
11205,85
11206,200
11207,537
11208,382
11209,73
11210,224
11211,121
11212,386
11213,386
11214,114
11215,107
11216,465
11217,79
11218,129
11219,99
11220,172
11221,512
11222,78
11223,65
11224,80
11225,397
11226,769
11228,18
11229,87
11230,139
11231,45
11232,68
11233,540
11234,118
11235,124
11236,274
11237,287
11238,265
11239,10
11249,26
11354,50
11355,105
11356,28
11357,26
11358,20
11360,15
11361,15
11362,7
11363,2
11364,10
11365,27
11366,5
11367,90
11368,262
11369,110
11370,37
11372,145
11373,178
11374,77
11375,83
11377,159
11378,44
11379,24
11385,238
11411,45
11412,167
11413,182
11414,30
11415,49
11416,78
11417,53
11418,122
11419,136
11420,135
11421,121
11422,129
11423,102
11426,11
11427,40
11428,39
11429,90
11432,184
11433,228
11434,279
11435,218
11436,101
11691,323
11692,109
11693,34
11694,49
11697,2
